Sizes: Mass = 1.98901e+30, Length = 1.496e+11, Time = 5.022e+06, Center of Mass = 449175,0,0.
Step,Name,Mass,Radius,X,Y,Z,VelX,VelY,VelZ
0,Sun,0.999997,0.0046504,-2.99875e-06,6.25335e-11,0,1.50102e-07,3.12726e-09,0
0,Earth,3.0025e-06,4.25869e-05,0.998747,0.0499642,0,-0.0499921,0.998658,0
0.05,Sun,0.999997,0.0046504,-2.9875e-06,4.68849e-10,0,2.9986e-07,1.3751e-08,0
0.05,Earth,3.0025e-06,4.25869e-05,0.995001,0.0998138,0,-0.0998698,0.99512,0
0.1,Sun,0.999997,0.0046504,-2.96878e-06,1.59319e-09,0,4.48901e-07,3.18464e-08,0
0.1,Earth,3.0025e-06,4.25869e-05,0.988766,0.149424,0,-0.149509,0.989093,0
0.15,Sun,0.999997,0.0046504,-2.94264e-06,3.80808e-09,0,5.96852e-07,5.73697e-08,0
0.15,Earth,3.0025e-06,4.25869e-05,0.980058,0.198672,0,-0.198784,0.980593,0
0.2,Sun,0.999997,0.0046504,-2.90913e-06,7.4834e-09,0,7.43341e-07,9.02587e-08,0
0.2,Earth,3.0025e-06,4.25869e-05,0.968898,0.247433,0,-0.247573,0.969639,0
0.25,Sun,0.999997,0.0046504,-2.86834e-06,1.29855e-08,0,8.88002e-07,1.30432e-07,0
0.25,Earth,3.0025e-06,4.25869e-05,0.955313,0.295585,0,-0.295753,0.956259,0
0.3,Sun,0.999997,0.0046504,-2.82038e-06,2.0676e-08,0,1.03047e-06,1.77791e-07,0
0.3,Earth,3.0025e-06,4.25869e-05,0.939338,0.343009,0,-0.343202,0.940486,0
0.35,Sun,0.999997,0.0046504,-2.76535e-06,3.09114e-08,0,1.17039e-06,2.32217e-07,0
0.35,Earth,3.0025e-06,4.25869e-05,0.921011,0.389585,0,-0.389803,0.922359,0
0.4,Sun,0.999997,0.0046504,-2.7034e-06,4.40417e-08,0,1.3074e-06,2.93575e-07,0
0.4,Earth,3.0025e-06,4.25869e-05,0.900378,0.435197,0,-0.435436,0.901923,0
0.45,Sun,0.999997,0.0046504,-2.63468e-06,6.04096e-08,0,1.44117e-06,3.61709e-07,0
0.45,Earth,3.0025e-06,4.25869e-05,0.87749,0.47973,0,-0.479987,0.879231,0
0.5,Sun,0.999997,0.0046504,-2.55936e-06,8.03498e-08,0,1.57135e-06,4.3645e-07,0
0.5,Earth,3.0025e-06,4.25869e-05,0.852405,0.523074,0,-0.523344,0.854338,0
0.55,Sun,0.999997,0.0046504,-2.47762e-06,1.04188e-07,0,1.69761e-06,5.17608e-07,0
0.55,Earth,3.0025e-06,4.25869e-05,0.825183,0.56512,0,-0.565398,0.827308,0
0.6,Sun,0.999997,0.0046504,-2.38968e-06,1.32239e-07,0,1.81965e-06,6.04977e-07,0
0.6,Earth,3.0025e-06,4.25869e-05,0.795894,0.605762,0,-0.606041,0.798209,0
0.65,Sun,0.999997,0.0046504,-2.29576e-06,1.6481e-07,0,1.93714e-06,6.98337e-07,0
0.65,Earth,3.0025e-06,4.25869e-05,0.764611,0.644899,0,-0.645172,0.767116,0
0.7,Sun,0.999997,0.0046504,-2.19607e-06,2.02192e-07,0,2.04979e-06,7.9745e-07,0
0.7,Earth,3.0025e-06,4.25869e-05,0.731411,0.682434,0,-0.682691,0.734106,0
0.75,Sun,0.999997,0.0046504,-2.09088e-06,2.44669e-07,0,2.15732e-06,9.02062e-07,0
0.75,Earth,3.0025e-06,4.25869e-05,0.696378,0.718272,0,-0.718504,0.699264,0
0.8,Sun,0.999997,0.0046504,-1.98045e-06,2.92507e-07,0,2.25945e-06,1.01191e-06,0
0.8,Earth,3.0025e-06,4.25869e-05,0.659598,0.752324,0,-0.752521,0.662679,0
0.85,Sun,0.999997,0.0046504,-1.86506e-06,3.45962e-07,0,2.35594e-06,1.12671e-06,0
0.85,Earth,3.0025e-06,4.25869e-05,0.621165,0.784506,0,-0.784656,0.624445,0
0.9,Sun,0.999997,0.0046504,-1.74498e-06,4.05274e-07,0,2.44653e-06,1.24616e-06,0
0.9,Earth,3.0025e-06,4.25869e-05,0.581174,0.814737,0,-0.814828,0.584659,0
0.95,Sun,0.999997,0.0046504,-1.62053e-06,4.70668e-07,0,2.53101e-06,1.36997e-06,0
0.95,Earth,3.0025e-06,4.25869e-05,0.539725,0.842942,0,-0.842963,0.543424,0
